Old Faithful,F1,F2,Class
,2.2,57,0
,2,56,0
,1.8,50,0
,1.6,54,0
,1.8,60,0
,1.9,54,0
,2.8,68,0
,2.2,65,0
,2.6,58,0
,2.2,50,0
,1.8,48,0
,2.3,54,0
,1.9,60,0
,2.1,49,0
,2.2,60,0
,1.8,43,0
,2.2,60,0
,1.9,50,0
,2.2,62,0
,2,54,0
,1.9,62,0
,1.8,59,0
,2.1,50,0
,1.9,51,0
,1.7,58,0
,1.8,49,0
,1.9,50,0
,1.6,62,0
,1.8,56,0
,1.6,51,0
,2,52,0
,2.9,69,0
,2,53,0
,1.8,55,0
,1.8,53,0
,2.1,61,0
,1.8,54,0
,2.5,50,0
,1.7,65,0
,2,64,0
,0.8,49,0
,1.7,54,0
,1.7,51,0
,1.8,50,0
,1.9,78,0
,1.9,49,0
,2,57,0
,2.9,57,0
,1.8,57,0
,2.5,57,0
,2.1,62,0
,1.8,52,0
,1.8,48,0
,1.9,50,0
,2,60,0
,1.9,50,0
,1.9,50,0
,1.9,65,0
,1.9,49,0
,2,51,0
,2.4,69,0
,2,61,0
,1.8,55,0
,1.6,53,0
,2.6,70,0
,1.9,50,0
,1.9,49,0
,2,53,0
,1.7,49,0
,2,59,0
,1.9,45,0
,1.8,65,0
,1.8,57,0
,1.9,47,0
,2,57,0
,1.8,48,0
,2.8,63,0
,2,62,0
,1.9,50,0
,1.9,48,0
,1.7,47,0
,2,51,0
,1.9,54,0
,2.1,52,0
,2.1,58,0
,4,71,1
,4.4,86,1
,4.3,77,1
,4.8,81,1
,5.5,89,1
,4.9,90,1
,4.4,73,1
,4.7,83,1
,4.8,82,1
,4.2,84,1
,5,85,1
,4.5,76,1
,4.1,78,1
,3.7,74,1
,3.5,85,1
,4.5,75,1
,4.9,76,1
,4.2,91,1
,4.8,87,1
,4.6,93,1
,4.1,86,1
,4.3,87,1
,4.5,80,1
,4,92,1
,4.3,89,1
,4.5,84,1
,3.9,69,1
,3.3,74,1
,3.7,71,1
,4,108,1
,5.3,77,1
,3.5,73,1
,4.5,79,1
,4.2,80,1
,4.2,73,1
,4.3,81,1
,4.7,81,1
,3.8,71,1
,4,79,1
,4.2,81,1
,4.7,74,1
,4.5,80,1
,4.3,87,1
,4.7,82,1
,4.4,81,1
,4.6,92,1
,4.5,88,1
,5,93,1
,5.1,89,1
,4.3,79,1
,4.5,88,1
,4.7,75,1
,3.9,77,1
,4.1,80,1
,4.7,87,1
,4.7,85,1
,4.8,93,1
,4.1,76,1
,4.7,80,1
,4.2,71,1
,4.1,77,1
,3.9,76,1
,3.8,94,1
,4.4,75,1
,4.2,83,1
,3.8,82,1
,4.3,72,1
,3.9,77,1
,4.7,75,1
,5,79,1
,4.3,72,1
,4.6,78,1
,4.6,80,1
,4.9,88,1
,4.6,85,1
,4.8,96,1
,4.5,80,1
,4.5,81,1
,4.5,72,1
,4,75,1
,4.8,78,1
,4.6,82,1
,3.7,84,1
,4.8,84,1
,3.4,73,1
,4.4,78,1
,4.4,79,1
,4.5,90,1
,4.3,87,1
,4.3,78,1
,4.9,98,1
,3.9,84,1
,4.7,83,1
,4.5,80,1
,4.2,88,1
,4.3,84,1
,3.3,74,1
,4.2,76,1
,5,89,1
,4,88,1
,4.8,78,1
,4.4,92,1
,4.2,68,1
,4.4,87,1
,4.5,81,1
,4.5,93,1
,4.7,84,1
,3.7,73,1
,4.2,93,1
,4.4,87,1
,4.2,82,1
,4,74,1
,4.1,80,1
,4.5,91,1
,4.2,86,1
,4.5,79,1
,4.3,89,1
,4,87,1
,4.4,76,1
,4.5,80,1
,4.3,89,1
,4.4,93,1
,3.3,74,1
,4.6,78,1
,4.6,87,1
,4.6,72,1
,4.5,84,1
,5,84,1
,4.3,87,1
,4.2,68,1
,4.5,86,1
,4.4,75,1
,4.6,73,1
,3.9,77,1
,4.5,96,1
,4,89,1
,4.7,84,1
,4,76,1
,5,83,1
,4.8,85,1
,4.3,93,1
,4.8,87,1
,4.7,78,1
,4.4,87,1
,4.1,85,1
